victim_age,police_deployed,latitude,longitude,report_hour,report_day_of_week,report_month,victim_gender_M,victim_gender_X,weapon_used_Explosives,weapon_used_Firearm,weapon_used_Knife,weapon_used_Other,weapon_used_Poison,weapon_used_Unknown,crime_domain_Other Crime,crime_domain_Traffic Fatality,crime_domain_Violent Crime,case_closed_Yes
16,13,23.0215374,72.5800568,0.0,5.0,2.0,True,False,False,False,False,False,False,False,False,False,True,False
37,9,13.0836939,80.270186,19.0,2.0,1.0,True,False,False,False,False,False,True,False,True,False,False,False
48,15,30.9090157,75.851601,5.0,5.0,2.0,False,False,False,False,False,False,False,False,True,False,False,False
49,1,18.5213738,73.8545071,5.0,2.0,1.0,False,False,False,True,False,False,False,False,True,False,False,True
30,18,18.5213738,73.8545071,21.0,2.0,1.0,False,False,False,False,False,True,False,False,True,False,False,True
16,18,28.6328027,77.2197713,3.0,5.0,2.0,True,False,False,True,False,False,False,False,False,False,True,True
64,13,13.0836939,80.270186,16.0,2.0,1.0,False,False,False,False,True,False,False,False,False,False,True,True
78,8,13.0836939,80.270186,10.0,5.0,2.0,False,True,False,False,True,False,False,False,True,False,False,False
41,1,19.054999,72.8692035,3.0,2.0,4.0,False,True,False,False,False,False,False,False,True,False,False,False
29,4,13.0836939,80.270186,7.0,6.0,3.0,True,False,False,False,True,False,False,False,True,False,False,False
71,5,28.6328027,77.2197713,13.0,5.0,2.0,True,False,True,False,False,False,False,False,True,False,False,True
26,3,21.2094892,72.8317058,9.0,6.0,3.0,True,False,False,False,False,False,True,False,False,False,True,False
36,3,17.6935526,83.2921297,16.0,2.0,1.0,False,False,False,False,False,False,True,False,True,False,False,True
32,18,19.054999,72.8692035,22.0,5.0,2.0,False,True,False,False,False,False,False,True,False,False,True,False
77,19,12.9767936,77.590082,0.0,5.0,2.0,False,False,False,False,False,False,False,True,False,False,True,False
51,16,22.5726459,88.3638953,7.0,5.0,2.0,False,False,True,False,False,False,False,False,True,False,False,True
61,6,28.7749966,77.4586967,7.0,6.0,3.0,True,False,False,False,False,False,True,False,True,False,False,False
64,2,18.5213738,73.8545071,2.0,2.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False
11,3,12.9767936,77.590082,20.0,5.0,2.0,True,False,False,False,False,False,False,True,True,False,False,True
62,2,12.9767936,77.590082,18.0,6.0,3.0,False,False,False,False,False,False,False,False,True,False,False,True
50,14,17.360589,78.4740613,22.0,6.0,3.0,False,False,False,False,False,False,True,False,False,True,False,True
64,15,19.054999,72.8692035,12.0,6.0,3.0,False,False,False,False,False,True,False,False,True,False,False,True
69,13,26.9154576,75.8189817,10.0,5.0,2.0,False,False,False,False,False,False,False,False,True,False,False,False
77,18,13.0836939,80.270186,9.0,6.0,3.0,False,False,False,False,False,True,False,False,True,False,False,False
18,1,12.9767936,77.590082,1.0,6.0,3.0,False,False,False,False,False,True,False,False,True,False,False,False
60,15,26.9154576,75.8189817,16.0,5.0,2.0,True,False,False,True,False,False,False,False,False,False,True,True
49,13,18.5213738,73.8545071,6.0,5.0,2.0,True,False,False,False,False,False,False,False,False,False,True,False
41,7,26.8381,80.9346001,15.0,5.0,2.0,False,False,False,False,False,False,False,True,True,False,False,False
33,19,12.9767936,77.590082,14.0,2.0,4.0,False,False,True,False,False,False,False,False,True,False,False,False
37,4,23.2584857,77.401989,23.0,2.0,4.0,False,False,False,False,False,False,False,True,True,False,False,False
32,13,23.2584857,77.401989,7.0,6.0,3.0,False,False,True,False,False,False,False,False,True,False,False,False
60,3,17.360589,78.4740613,13.0,2.0,4.0,True,False,False,False,True,False,False,False,True,False,False,True
73,19,28.6328027,77.2197713,4.0,6.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False
24,6,25.6093239,85.1235252,7.0,4.0,5.0,False,False,True,False,False,False,False,False,False,False,True,False
34,14,26.4609135,80.3217588,21.0,2.0,4.0,False,False,False,False,False,True,False,False,True,False,False,False
32,11,13.0836939,80.270186,21.0,2.0,4.0,False,False,False,False,False,False,False,False,True,False,False,False
33,9,26.8381,80.9346001,5.0,6.0,3.0,False,False,False,False,False,False,False,False,False,False,True,True
22,14,25.3356491,83.0076292,5.0,2.0,4.0,False,False,True,False,False,False,False,False,True,False,False,False
32,13,21.2094892,72.8317058,23.0,6.0,3.0,False,False,False,False,False,False,False,True,False,False,True,True
69,10,19.054999,72.8692035,2.0,6.0,3.0,False,False,True,False,False,False,False,False,True,False,False,True
28,2,17.6935526,83.2921297,1.0,4.0,5.0,False,False,False,True,False,False,False,False,True,False,False,False
42,6,21.2094892,72.8317058,11.0,6.0,3.0,True,False,False,False,False,False,False,False,True,False,False,False
40,10,28.6328027,77.2197713,3.0,6.0,3.0,True,False,False,False,False,False,True,False,False,False,False,True
44,7,19.054999,72.8692035,7.0,2.0,4.0,True,False,False,False,False,True,False,False,False,False,True,False
44,10,22.5726459,88.3638953,19.0,4.0,5.0,False,False,False,False,False,False,False,False,False,False,False,True
67,8,25.6093239,85.1235252,19.0,2.0,4.0,True,False,False,False,True,False,False,False,True,False,False,False
47,9,28.6328027,77.2197713,4.0,4.0,5.0,False,False,False,False,False,False,False,True,False,False,True,False
38,14,26.8381,80.9346001,17.0,4.0,5.0,False,False,False,False,False,False,False,False,False,False,False,True
77,17,26.9154576,75.8189817,19.0,4.0,5.0,False,False,False,True,False,False,False,False,True,False,False,False
37,7,17.360589,78.4740613,13.0,6.0,3.0,False,False,False,False,False,False,False,False,True,False,False,False
54,12,21.1498134,79.0820556,5.0,6.0,3.0,False,False,False,False,False,True,False,False,True,False,False,True
38,5,22.5726459,88.3638953,12.0,4.0,5.0,False,False,False,False,False,False,False,False,True,False,False,True
29,15,28.7749966,77.4586967,0.0,4.0,5.0,True,False,False,False,False,False,True,False,True,False,False,True
75,2,28.6328027,77.2197713,10.0,4.0,5.0,True,False,True,False,False,False,False,False,True,False,False,False
61,5,18.5213738,73.8545071,2.0,0.0,6.0,False,False,False,False,False,False,True,False,False,False,False,False
49,19,29.0018557,77.7679671,4.0,2.0,4.0,False,False,False,False,False,False,False,True,True,False,False,False
67,8,26.4609135,80.3217588,1.0,0.0,6.0,False,False,False,True,False,False,False,False,False,False,True,True
70,15,23.0215374,72.5800568,18.0,6.0,3.0,False,False,False,False,False,False,False,True,False,False,True,False
75,16,13.0836939,80.270186,14.0,2.0,4.0,False,False,False,False,False,False,False,False,False,True,False,False
53,6,19.1943294,72.9701779,18.0,4.0,5.0,False,False,False,False,False,True,False,False,True,False,False,True
16,10,19.054999,72.8692035,22.0,6.0,3.0,True,False,False,False,False,False,True,False,True,False,False,False
30,9,21.2094892,72.8317058,21.0,4.0,5.0,True,False,True,False,False,False,False,False,True,False,False,True
56,5,13.0836939,80.270186,20.0,6.0,3.0,True,False,True,False,False,False,False,False,True,False,False,True
19,16,19.1943294,72.9701779,6.0,0.0,6.0,False,False,False,False,False,False,False,False,True,False,False,True
58,19,17.6935526,83.2921297,18.0,4.0,5.0,False,False,True,False,False,False,False,False,True,False,False,False
45,3,26.8381,80.9346001,14.0,0.0,6.0,False,False,False,False,False,True,False,False,True,False,False,True
25,6,23.2584857,77.401989,21.0,6.0,3.0,True,False,False,False,False,False,False,True,True,False,False,False
22,17,17.6935526,83.2921297,20.0,2.0,4.0,True,False,False,False,True,False,False,False,True,False,False,True
59,8,17.360589,78.4740613,9.0,0.0,6.0,False,False,True,False,False,False,False,False,True,False,False,True
31,1,17.6935526,83.2921297,12.0,0.0,6.0,False,False,False,True,False,False,False,False,False,False,False,False
58,6,22.5726459,88.3638953,20.0,0.0,6.0,False,False,False,False,False,False,True,False,False,False,False,False
53,1,21.1498134,79.0820556,18.0,4.0,5.0,False,False,False,False,True,False,False,False,False,False,False,True
35,2,26.8381,80.9346001,21.0,4.0,5.0,False,False,False,False,False,False,False,False,True,False,False,False
36,5,13.0836939,80.270186,5.0,0.0,6.0,True,False,False,True,False,False,False,False,False,False,False,True
70,18,23.0215374,72.5800568,2.0,4.0,5.0,False,False,False,False,True,False,False,False,True,False,False,False
52,7,28.6328027,77.2197713,0.0,0.0,6.0,True,False,True,False,False,False,False,False,True,False,False,True
25,14,19.054999,72.8692035,22.0,2.0,4.0,False,False,True,False,False,False,False,False,True,False,False,False
58,10,22.7203616,75.8681996,21.0,4.0,5.0,False,False,False,False,True,False,False,False,False,False,True,True
39,4,19.054999,72.8692035,20.0,4.0,5.0,False,False,False,False,False,False,True,False,False,False,True,False
54,15,17.6935526,83.2921297,3.0,2.0,7.0,False,False,False,False,False,False,False,True,False,False,True,True
61,10,28.6328027,77.2197713,3.0,4.0,5.0,False,False,False,False,True,False,False,False,False,False,True,True
16,17,26.9154576,75.8189817,5.0,0.0,6.0,False,False,True,False,False,False,False,False,True,False,False,False
25,14,19.054999,72.8692035,12.0,0.0,6.0,False,False,False,True,False,False,False,False,False,False,True,True
72,9,22.5726459,88.3638953,19.0,2.0,4.0,False,False,False,False,False,False,False,False,False,True,False,True
48,3,26.8381,80.9346001,18.0,4.0,5.0,True,False,False,True,False,False,False,False,True,False,False,False
22,5,19.054999,72.8692035,17.0,0.0,6.0,True,False,False,False,False,True,False,False,True,False,False,True
30,10,26.8381,80.9346001,6.0,2.0,7.0,False,False,False,True,False,False,False,False,True,False,False,True
11,1,22.3053263,70.8028377,3.0,2.0,7.0,False,False,False,True,False,False,False,False,False,False,True,False
16,6,19.054999,72.8692035,22.0,0.0,6.0,False,False,False,False,True,False,False,False,True,False,False,False
73,12,17.360589,78.4740613,18.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,True,False
72,9,22.5726459,88.3638953,4.0,4.0,5.0,False,False,False,False,False,False,True,False,True,False,False,False
60,7,26.9154576,75.8189817,20.0,2.0,4.0,False,False,False,False,False,False,False,True,True,False,False,False
53,13,17.360589,78.4740613,16.0,4.0,5.0,True,False,False,False,False,False,False,True,True,False,False,True
42,3,19.054999,72.8692035,21.0,0.0,6.0,False,False,False,True,False,False,False,False,False,False,True,False
10,11,19.3428238,72.805441,8.0,0.0,6.0,True,False,False,True,False,False,False,False,True,False,False,False
51,7,17.360589,78.4740613,8.0,0.0,6.0,False,False,False,False,False,False,False,False,True,False,False,False
26,5,21.1498134,79.0820556,2.0,0.0,6.0,False,False,True,False,False,False,False,False,False,False,True,True
71,6,22.5726459,88.3638953,17.0,0.0,6.0,True,False,False,False,False,False,False,False,False,False,True,False
74,15,17.360589,78.4740613,23.0,0.0,6.0,False,False,True,False,False,False,False,False,False,False,True,True
13,13,17.360589,78.4740613,20.0,0.0,6.0,False,False,False,False,False,True,False,False,True,False,False,True
50,1,23.0215374,72.5800568,23.0,0.0,6.0,False,False,False,False,True,False,False,False,True,False,False,True
69,18,19.054999,72.8692035,16.0,4.0,5.0,False,False,True,False,False,False,False,False,True,False,False,False
34,6,26.4609135,80.3217588,0.0,2.0,7.0,False,False,False,False,False,True,False,False,False,False,True,False
38,14,19.054999,72.8692035,16.0,2.0,7.0,False,False,False,False,False,False,True,False,False,False,True,True
44,16,26.8381,80.9346001,23.0,0.0,6.0,False,False,False,False,False,False,False,False,True,False,False,False
69,12,17.360589,78.4740613,0.0,0.0,6.0,False,False,False,False,False,False,False,True,False,False,True,True
12,1,26.8381,80.9346001,11.0,4.0,5.0,False,False,False,False,False,False,False,False,False,False,True,False
21,3,12.9767936,77.590082,12.0,2.0,7.0,False,False,False,False,False,False,True,False,False,False,False,True
55,8,13.0836939,80.270186,20.0,2.0,7.0,False,False,False,False,False,False,False,False,True,False,False,False
15,9,28.6328027,77.2197713,17.0,4.0,5.0,False,False,False,False,False,True,False,False,False,False,False,False
58,5,17.6935526,83.2921297,4.0,2.0,7.0,False,False,True,False,False,False,False,False,True,False,False,True
37,6,28.6328027,77.2197713,5.0,5.0,8.0,False,False,False,False,False,False,False,True,True,False,False,False
49,7,12.9767936,77.590082,9.0,2.0,7.0,False,False,False,False,True,False,False,False,True,False,False,True
30,5,21.2094892,72.8317058,15.0,0.0,6.0,True,False,False,False,False,False,True,False,True,False,False,False
50,15,18.5213738,73.8545071,13.0,2.0,7.0,False,False,False,False,False,False,False,False,False,False,False,True
64,10,19.054999,72.8692035,20.0,4.0,5.0,False,False,False,False,True,False,False,False,True,False,False,False
43,14,26.8381,80.9346001,4.0,2.0,7.0,True,False,False,False,False,False,True,False,True,False,False,True
32,13,28.6328027,77.2197713,20.0,0.0,6.0,True,False,True,False,False,False,False,False,True,False,False,True
14,3,19.054999,72.8692035,19.0,2.0,7.0,True,False,False,False,False,False,True,False,True,False,False,True
70,3,18.5213738,73.8545071,2.0,2.0,7.0,True,False,False,False,False,False,False,True,False,True,False,True
78,10,23.0215374,72.5800568,14.0,2.0,7.0,False,False,False,True,False,False,False,False,False,False,True,True
22,19,28.6328027,77.2197713,19.0,5.0,8.0,False,False,False,False,False,True,False,False,True,False,False,True
60,4,23.2584857,77.401989,4.0,0.0,6.0,False,False,False,False,False,False,False,True,True,False,False,False
44,2,30.9090157,75.851601,23.0,5.0,8.0,False,False,False,False,False,False,False,False,False,False,True,False
30,14,18.5213738,73.8545071,0.0,1.0,9.0,True,False,False,False,True,False,False,False,True,False,False,False
62,10,18.5213738,73.8545071,2.0,1.0,9.0,False,False,False,False,False,False,False,True,False,False,True,False
42,8,21.2094892,72.8317058,7.0,2.0,7.0,False,False,False,False,False,False,False,True,False,False,False,False
73,2,28.7749966,77.4586967,4.0,2.0,7.0,False,False,False,False,True,False,False,False,False,False,True,True
25,15,26.4609135,80.3217588,4.0,1.0,9.0,True,False,True,False,False,False,False,False,True,False,False,False
33,3,28.7749966,77.4586967,14.0,5.0,8.0,True,False,False,False,False,True,False,False,False,False,True,True
13,19,27.1752554,78.0098161,13.0,5.0,8.0,False,False,False,False,False,False,True,False,False,False,False,False
39,8,26.8381,80.9346001,4.0,2.0,7.0,False,False,False,False,True,False,False,False,False,False,True,False
18,2,12.9767936,77.590082,23.0,0.0,6.0,True,False,False,False,False,False,False,True,True,False,False,False
75,8,26.8381,80.9346001,22.0,0.0,6.0,False,False,False,False,True,False,False,False,True,False,False,False
50,15,28.6328027,77.2197713,18.0,0.0,6.0,False,False,False,False,False,True,False,False,True,False,False,False
71,7,28.6328027,77.2197713,7.0,1.0,9.0,False,False,False,False,False,True,False,False,True,False,False,False
38,12,23.0215374,72.5800568,23.0,2.0,7.0,False,False,True,False,False,False,False,False,True,False,False,True
12,6,19.054999,72.8692035,12.0,5.0,8.0,True,False,False,False,False,False,False,False,False,False,True,False
57,2,26.4609135,80.3217588,17.0,5.0,8.0,False,False,False,False,False,True,False,False,True,False,False,False
47,16,26.9154576,75.8189817,16.0,5.0,8.0,False,False,False,True,False,False,False,False,True,False,False,True
73,14,28.6328027,77.2197713,13.0,5.0,8.0,False,False,False,False,False,True,False,False,False,False,True,False
41,4,19.054999,72.8692035,23.0,2.0,7.0,False,False,False,False,False,False,False,False,False,False,False,True
45,2,19.054999,72.8692035,9.0,2.0,7.0,False,False,False,False,False,False,False,True,True,False,False,False
79,14,25.3356491,83.0076292,6.0,2.0,7.0,False,False,False,True,False,False,False,False,False,False,True,True
17,10,30.9090157,75.851601,20.0,5.0,8.0,True,False,False,True,False,False,False,False,False,False,True,False
15,16,22.5726459,88.3638953,1.0,5.0,8.0,False,False,False,False,True,False,False,False,True,False,False,False
44,6,29.0018557,77.7679671,16.0,2.0,7.0,False,False,False,False,False,True,False,False,True,False,False,True
28,8,12.9767936,77.590082,16.0,2.0,7.0,False,False,False,False,True,False,False,False,True,False,False,False
41,5,27.1752554,78.0098161,6.0,2.0,7.0,False,False,False,False,False,False,False,True,False,False,True,True
46,1,25.6093239,85.1235252,8.0,2.0,7.0,False,False,False,False,True,False,False,False,True,False,False,True
35,3,23.2584857,77.401989,8.0,5.0,8.0,False,False,False,False,False,False,False,False,True,False,False,True
